impact_location,file,frequency_hz,FRF_real,FRF_imag
1,SIG0029.csv,24.0,0.712568521,16.5007629
1,SIG0029.csv,1382.625,1.07531118,10.4076405
2,SIG0030.csv,24.0,0.590283871,13.8313103
2,SIG0030.csv,428.25,0.575521469,5.88135862
2,SIG0030.csv,840.0,-0.163606748,-8.87178707
3,SIG0031.csv,24.0,0.700661421,12.9711294
3,SIG0031.csv,1383.0,0.258982152,-27.587944
4,SIG0032.csv,24.0,0.387871861,11.3835564
5,SIG0033.csv,1383.125,-0.91808635,-5.88281012
6,SIG0034.csv,428.25,0.676594913,-26.5016403
9,SIG0037.csv,428.0,-0.440544277,-2.57447863
9,SIG0037.csv,839.875,-0.250675648,43.7016296
9,SIG0037.csv,1382.875,0.462078333,7.80927515
10,SIG0038.csv,427.875,-0.527472615,8.39400959
10,SIG0038.csv,839.875,-0.980227292,40.8234596
10,SIG0038.csv,1382.625,-0.499011815,-13.7928782
11,SIG0039.csv,428.125,0.579073727,18.9120522
11,SIG0039.csv,1382.875,1.00423205,-29.6223545
12,SIG0040.csv,23.875,-0.951797843,4.83980799
12,SIG0040.csv,154.375,-0.699207425,-37.9638062
12,SIG0040.csv,840.625,1.21375096,-2.34090328
12,SIG0040.csv,1383.0,0.0347989835,-28.4199944
13,SIG0041.csv,1382.75,0.0888151973,-8.81111431
14,SIG0042.csv,23.875,-0.474257171,1.5297792
14,SIG0042.csv,1382.75,1.36659515,11.8848333
15,SIG0043.csv,154.375,-0.931238115,-17.6916485
15,SIG0043.csv,428.0,-1.57837558,22.3877697
16,SIG0044.csv,154.375,-0.510520101,-9.09777832
16,SIG0044.csv,428.0,-1.00254583,13.7221804
16,SIG0044.csv,1382.875,0.965668738,27.464222
17,SIG0045.csv,428.125,-0.0834630206,6.29713869
